"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"1230144","NLU 1.0","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-44.567447
"1230159","NLU 1.0","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1230184","NLU 1.0","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-30.876957
"1230199","NLU 1.0","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1232174","NLU 1.0","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,-316.11862
"1232189","NLU 1.0","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1232374","NLU 1.0","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,-273.948788
"1232389","NLU 1.0","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1232414","NLU 1.0","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-421.506713
"1232429","NLU 1.0","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1232454","NLU 1.0","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-44.567447
"1232469","NLU 1.0","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1232494","NLU 1.0","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-30.876957
"1232509","NLU 1.0","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1243724","NLU 1.0","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,-316.11862
"1243739","NLU 1.0","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1243924","NLU 1.0","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,-273.948788
"1243939","NLU 1.0","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1243964","NLU 1.0","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-421.506713
"1243979","NLU 1.0","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1244004","NLU 1.0","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-44.567447
"1244019","NLU 1.0","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1244044","NLU 1.0","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-30.876957
"1244059","NLU 1.0","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1255274","NLU 1.0","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,-316.11862
"1255289","NLU 1.0","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1255474","NLU 1.0","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,-273.948788
"1255489","NLU 1.0","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1255514","NLU 1.0","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-421.506713
"1255529","NLU 1.0","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
